gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
GENE001,649.6276037069471,-0.04237288036168867,0.2324667969794547,-0.18227497824316632,0.8553669342009255,0.9845334359407522
GENE002,212.2333512666647,-0.2934385461844438,0.22540374970341384,-1.301835247064657,0.1929727118658512,0.8917848048202657
GENE003,65.67532299150055,-0.2803773461208826,0.24554499095187263,-1.1418573233116256,0.2535133303544095,0.8917848048202657
GENE004,181.66616741951898,0.040238175065023876,0.20031231324312587,0.20087719228815173,0.8407946021140931,0.9845334359407522
GENE005,197.43690936583567,-0.07130267712098638,0.20328449152565886,-0.3507531567502111,0.7257735425938144,0.9845334359407522
GENE006,920.672560841422,-0.015877132881082903,0.19679868087441552,-0.08067702898483697,0.9356988054692261,0.9845334359407522
GENE007,267.967651757463,0.10946835091900732,0.23495372872044876,0.465914507997676,0.6412766960381345,0.9788387623531146
GENE008,169.12012747953455,-0.020299886564622758,0.1833562471452955,-0.11071281661069712,0.9118440822791051,0.9845334359407522
GENE009,87.98945025088149,0.09752874578385716,0.21660670711677105,0.45025727541890076,0.6525249418654672,0.9788387623531146
GENE010,95.24253101510116,-0.04623536718994387,0.27062483605005494,-0.1708467259131832,0.8643442871944695,0.9845334359407522
GENE011,57.3220819134563,0.11973352540192894,0.19479727164887264,0.6146570965211046,0.5387811990524629,0.9565554448416204
GENE012,43.19247328064587,-0.20080814317364834,0.27074405317189393,-0.7416899496815775,0.45827521048237885,0.9565554448416204
GENE013,117.17595601530607,-0.022095007828860553,0.28077034882743035,-0.07869423506126991,0.937275831015596,0.9845334359407522
GENE014,116.65228117017587,0.11827826318074719,0.20611786675277352,0.5738379939795086,0.5660774356127884,0.9640135519378277
GENE015,610.9018218863555,-0.23662797007759792,0.18511648642667544,-1.2782652406884687,0.20115591940589195,0.8917848048202657
GENE016,131.08438120306855,0.09377292760390052,0.20417724754282227,0.45927217029524037,0.6460387299473307,0.9788387623531146
GENE017,361.9657276453237,0.016040874509780617,0.21824516454300166,0.07349933522408018,0.9414087730600706,0.9847372103138814
GENE018,623.4799534112649,-0.043277877338239235,0.17279101299491773,-0.2504637051899925,0.8022287694066538,0.9845334359407522
GENE019,5.9358496397751725,0.053180784924230166,0.3443238699099508,0.15444989317219934,0.8772550165124386,0.9845334359407522
GENE020,118.11375222469329,0.10853344387314952,0.25621180912179037,0.4236082803722685,0.671851515490973,0.9825384130327922
GENE021,422.8419669219341,0.05706719045331431,0.16383114643552438,0.3483293115804025,0.7275928831207839,0.9845334359407522
GENE022,168.67790880054184,0.056965996589756755,0.23066634000205918,0.2469627627041215,0.8049370426326066,0.9845334359407522
GENE023,232.35477463565948,-0.29717415992227664,0.21659820195079876,-1.3720065875236631,0.17006138709582774,0.8917848048202657
GENE024,880.229995882805,0.33780299022425564,0.2035283314069681,1.6597344845754993,0.09696787877053384,0.8917848048202657
GENE025,132.88064942137288,-0.22824521931567207,0.18967140085526576,-1.2033718224596295,0.22883246682964242,0.8917848048202657
