feature,n,corr,pvalue,qvalue_fdr
PROT022,17,0.5980392156862745,0.011221090083450307,0.5090057314286883
PROT073,15,0.6178571428571428,0.014103928406489474,0.5090057314286883
PROT031,15,-0.5892857142857142,0.020794358483161635,0.5090057314286883
PROT059,16,-0.5147058823529412,0.04134580644224894,0.5090057314286883
PROT041,15,0.5214285714285714,0.04621923447857302,0.5090057314286883
PROT062,18,-0.4716202270381837,0.04816897678955323,0.5090057314286883
PROT011,16,0.4970588235294117,0.05013355780377417,0.5090057314286883
PROT106,17,0.47794117647058826,0.052328541890811264,0.5090057314286883
PROT087,14,0.5252747252747253,0.05374750176788299,0.5090057314286883
PROT090,15,-0.5035714285714286,0.05565451716115848,0.5090057314286883
PROT034,18,0.45098039215686275,0.060326235785684724,0.5090057314286883
PROT067,17,0.46323529411764713,0.061113371302034813,0.5090057314286883
PROT025,16,-0.4764705882352941,0.062059174189226164,0.5090057314286883
PROT043,15,-0.4892857142857142,0.06416038631454055,0.5090057314286883
PROT055,15,0.4892857142857142,0.06416038631454055,0.5090057314286883
PROT088,17,-0.43627450980392163,0.0799888724598653,0.5949172389202482
PROT029,11,0.5181818181818182,0.10249153979096379,0.7119706371122979
PROT105,15,0.43214285714285705,0.10769303754639799,0.7119706371122979
PROT016,18,-0.3828689370485036,0.11683232301276766,0.7209765893301766
PROT066,15,-0.41785714285714276,0.12117253602187843,0.7209765893301766
PROT080,15,0.3928571428571428,0.1474666553113263,0.7724149921125658
PROT094,16,0.3735294117647059,0.15412246989684822,0.7724149921125658
PROT052,15,0.37499999999999994,0.16843274984674558,0.7724149921125658
PROT084,17,-0.34313725490196084,0.1775307396809928,0.7724149921125658
PROT014,16,0.3529411764705882,0.17995865788498183,0.7724149921125658
PROT120,16,0.3529411764705882,0.17995865788498183,0.7724149921125658
PROT098,17,0.3357843137254902,0.1876141178747958,0.7724149921125658
PROT035,17,-0.33333333333333337,0.191057627345904,0.7724149921125658
PROT008,15,0.35,0.2009453508162933,0.7724149921125658
PROT063,15,0.35,0.2009453508162933,0.7724149921125658
PROT050,14,-0.3626373626373627,0.20256454381724162,0.7724149921125658
PROT020,17,0.3137254901960785,0.22010439650726996,0.7724149921125658
PROT010,14,-0.3494505494505495,0.22068999774644735,0.7724149921125658
PROT097,14,0.3494505494505495,0.22068999774644735,0.7724149921125658
PROT053,15,0.32499999999999996,0.23722543823723408,0.7920917875261907
PROT092,17,0.30147058823529416,0.23962440631044424,0.7920917875261907
PROT114,16,0.29705882352941176,0.2638630146135225,0.7998185000031065
PROT007,18,0.2776057791537668,0.26470972815378374,0.7998185000031065
PROT006,16,0.29411764705882354,0.268846554622893,0.7998185000031065
PROT054,16,0.29411764705882354,0.268846554622893,0.7998185000031065
PROT103,15,-0.2928571428571428,0.289471667212401,0.8401738633725785
PROT089,16,0.2764705882352941,0.2999421284923735,0.8498360307283915
PROT109,18,0.24664602683178533,0.32380881293776365,0.8865210798658988
PROT085,15,0.2714285714285714,0.3277893068411727,0.8865210798658988
PROT036,16,0.25588235294117645,0.33878990807124576,0.8959110902328499
PROT118,15,0.2571428571428571,0.35486036365060913,0.9051224299569518
PROT078,17,-0.2377450980392157,0.35817139991630287,0.9051224299569518
PROT013,15,0.25,0.36884629178393047,0.9051224299569518
PROT023,16,-0.2352941176470588,0.38035580118865675,0.9051224299569518
PROT030,17,0.22549019607843138,0.38419665076181897,0.9051224299569518
PROT069,17,-0.22303921568627455,0.3895228783967918,0.9051224299569518
PROT071,13,-0.25274725274725274,0.40477407127094656,0.9051224299569518
PROT061,17,-0.2132352941176471,0.4112256782090655,0.9051224299569518
PROT100,16,0.22058823529411767,0.4116664304979635,0.9051224299569518
PROT012,14,-0.2351648351648352,0.4183338961985912,0.9051224299569518
PROT099,15,-0.2178571428571428,0.43539267351553756,0.9252094312205174
PROT004,17,0.1936274509803922,0.45649692854875445,0.95099889610152
PROT049,16,-0.19705882352941176,0.46446421122573867,0.95099889610152
PROT101,14,0.2087912087912088,0.4737788373098136,0.95099889610152
PROT038,15,0.1964285714285714,0.4828987562716336,0.95099889610152
PROT096,17,0.17647058823529413,0.49806765732373415,0.95099889610152
PROT046,15,-0.1857142857142857,0.5075409629336737,0.95099889610152
PROT082,17,0.17156862745098042,0.5102663098717943,0.95099889610152
PROT057,15,-0.17857142857142855,0.5242843600465525,0.95099889610152
PROT115,15,0.1714285714285714,0.5412721760996331,0.95099889610152
PROT003,17,0.1593137254901961,0.541361632626163,0.95099889610152
PROT108,14,0.178021978021978,0.5425969526062153,0.95099889610152
PROT045,16,0.15882352941176472,0.5568612810855389,0.95099889610152
PROT037,17,-0.1519607843137255,0.5604155062809044,0.95099889610152
PROT072,13,0.1758241758241758,0.5655798619595345,0.95099889610152
PROT095,17,0.14705882352941177,0.5732772908660002,0.95099889610152
PROT060,15,-0.15357142857142855,0.5847640949410158,0.95099889610152
PROT081,16,-0.14705882352941177,0.5867933937012053,0.95099889610152
PROT009,17,0.13970588235294118,0.5928010818860754,0.95099889610152
PROT015,17,0.13725490196078433,0.5993690521648235,0.95099889610152
PROT028,17,-0.12990196078431374,0.6192473366524134,0.9527963699964015
PROT032,17,0.12745098039215688,0.6259301508467394,0.9527963699964015
PROT077,16,-0.1264705882352941,0.6406944408168836,0.9527963699964015
PROT116,13,0.14285714285714285,0.6415164215860882,0.9527963699964015
PROT086,16,0.12352941176470587,0.6485420669723405,0.9527963699964015
PROT110,16,-0.12352941176470587,0.6485420669723405,0.9527963699964015
PROT033,15,-0.125,0.6571356681869504,0.9536481038322816
PROT018,17,0.10784313725490197,0.6803504180481621,0.9750750831063364
PROT048,16,-0.10882352941176471,0.688288293957414,0.9750750831063364
PROT051,15,0.10714285714285714,0.7039010016261615,0.9782045050134217
PROT017,14,0.1076923076923077,0.7140308087262492,0.9782045050134217
PROT113,17,0.09558823529411767,0.7151579154299805,0.9782045050134217
PROT119,18,0.08771929824561403,0.7292587507339037,0.9839885491072806
PROT044,15,0.08928571428571427,0.751672517350277,0.9839885491072806
PROT005,16,0.08529411764705883,0.7534650694747833,0.9839885491072806
PROT056,17,-0.08088235294117649,0.7576329086921563,0.9839885491072806
PROT117,15,0.0857142857142857,0.7613341261907667,0.9839885491072806
PROT074,16,0.07941176470588236,0.770025319039825,0.9839885491072806
PROT026,16,0.07647058823529412,0.7783409809607029,0.9839885491072806
PROT112,17,0.07107843137254903,0.7863266619781206,0.9839885491072806
PROT019,14,-0.07692307692307693,0.7938058883554533,0.9839885491072806
PROT064,16,-0.0588235294117647,0.8286807500332258,0.9881479924036456
PROT047,17,0.056372549019607844,0.8298485835353617,0.9881479924036456
PROT058,17,0.056372549019607844,0.8298485835353617,0.9881479924036456
PROT107,16,0.055882352941176466,0.8371372217954723,0.9881479924036456
PROT093,13,0.054945054945054944,0.8585042942308735,0.9881479924036456
PROT070,18,-0.04437564499484004,0.8612061336731367,0.9881479924036456
PROT027,12,0.04895104895104895,0.8799185788786749,0.9881479924036456
PROT068,17,0.03676470588235294,0.8885928675683452,0.9881479924036456
PROT076,18,-0.034055727554179564,0.893282818838896,0.9881479924036456
PROT039,17,0.03431372549019608,0.8959808104551743,0.9881479924036456
PROT111,15,-0.035714285714285705,0.8994469934720875,0.9881479924036456
PROT104,16,0.032352941176470584,0.9053195187918449,0.9881479924036456
PROT075,18,0.029927760577915376,0.9061604960497216,0.9881479924036456
PROT091,15,-0.028571428571428564,0.9194899083821857,0.9881479924036456
PROT042,14,-0.02857142857142857,0.9227613765698746,0.9881479924036456
PROT102,16,-0.01764705882352941,0.9482801500547112,0.9881479924036456
PROT024,17,-0.012254901960784315,0.9627675753886973,0.9881479924036456
PROT079,16,0.011764705882352941,0.9655081698956276,0.9881479924036456
PROT002,15,-0.010714285714285713,0.9697698761545686,0.9881479924036456
PROT021,18,-0.007223942208462332,0.9773044881689206,0.9881479924036456
PROT040,15,0.007142857142857141,0.9798442277615982,0.9881479924036456
PROT065,15,-0.007142857142857141,0.9798442277615982,0.9881479924036456
PROT083,14,0.002197802197802198,0.9940505286658998,0.9940505286658998
