protein,0
PROT001,0.05
PROT002,0.075
PROT003,0.025
PROT004,0.025
PROT005,0.075
PROT006,0.05
PROT007,0.025
PROT008,0.075
PROT009,0.025
PROT010,0.1
PROT011,0.075
PROT012,0.1
PROT013,0.075
PROT014,0.05
PROT015,0.025
PROT016,0.0
PROT017,0.125
PROT018,0.025
PROT019,0.1
PROT020,0.05
PROT021,0.0
PROT022,0.05
PROT023,0.1
PROT024,0.05
PROT025,0.05
PROT026,0.075
PROT027,0.15
PROT028,0.05
PROT029,0.175
PROT030,0.025
PROT031,0.125
PROT032,0.025
PROT033,0.075
PROT034,0.0
PROT035,0.025
PROT036,0.05
PROT037,0.05
PROT038,0.075
PROT039,0.05
PROT040,0.075
PROT041,0.075
PROT042,0.1
PROT043,0.075
PROT044,0.075
PROT045,0.05
PROT046,0.075
PROT047,0.025
PROT048,0.05
PROT049,0.05
PROT050,0.1
PROT051,0.1
PROT052,0.075
PROT053,0.1
PROT054,0.05
PROT055,0.1
PROT056,0.025
PROT057,0.1
PROT058,0.025
PROT059,0.05
PROT060,0.1
PROT061,0.05
PROT062,0.0
PROT063,0.075
PROT064,0.05
PROT065,0.075
PROT066,0.075
PROT067,0.025
PROT068,0.025
PROT069,0.025
PROT070,0.0
PROT071,0.125
PROT072,0.15
PROT073,0.075
PROT074,0.05
PROT075,0.0
PROT076,0.0
PROT077,0.05
PROT078,0.025
PROT079,0.05
PROT080,0.125
PROT081,0.05
PROT082,0.1
PROT083,0.1
PROT084,0.05
PROT085,0.075
PROT086,0.05
PROT087,0.15
PROT088,0.025
PROT089,0.075
PROT090,0.075
PROT091,0.075
PROT092,0.025
PROT093,0.125
PROT094,0.075
PROT095,0.05
PROT096,0.025
PROT097,0.1
PROT098,0.025
PROT099,0.1
PROT100,0.05
PROT101,0.1
PROT102,0.05
PROT103,0.1
PROT104,0.05
PROT105,0.125
PROT106,0.025
PROT107,0.05
PROT108,0.125
PROT109,0.0
PROT110,0.075
PROT111,0.1
PROT112,0.05
PROT113,0.025
PROT114,0.05
PROT115,0.075
PROT116,0.125
PROT117,0.075
PROT118,0.075
PROT119,0.025
PROT120,0.05
